weight,max_displacement,feasible,rank,crowding_distance,variables
1379.25,3.21553,true,1,0.0104456,0;0;16;0;5;22;0;6;15;0
1379.62,3.1843,true,1,0.00988267,0;0;18;0;6;22;0;5;14;0
1382.84,3.18127,true,1,0.00483838,0;0;17;0;9;23;0;8;10;0
1394.13,3.17156,true,1,0.00711164,0;0;21;0;6;23;0;4;12;3
1399.52,3.16106,true,1,0.0120932,1;0;15;0;7;22;0;5;17;0
1399.97,3.13008,true,1,0.0209439,0;0;18;0;8;23;0;9;9;0
1404.92,3.08774,true,1,0.0160328,0;0;22;0;5;22;0;5;13;0
1412.48,3.0766,true,1,0.0108649,0;0;20;2;8;22;0;5;12;0
1423.97,3.05009,true,1,0.0178457,0;0;18;0;9;24;0;7;12;0
1438.19,2.99904,true,1,0.0220583,0;0;19;0;10;23;0;8;14;0
1445.2,2.96531,true,1,0.00637178,0;0;21;0;9;23;0;7;13;0
1449.6,2.95857,true,1,0.00293402,0;0;20;0;8;22;0;7;17;0
1450.91,2.95649,true,1,0.0071993,0;0;19;0;11;23;0;8;14;0
1462.32,2.93649,true,1,0.00988899,0;0;23;0;6;22;0;5;19;0
1466.31,2.92594,true,1,0.00442319,0;0;21;0;12;24;0;10;10;1
1473.15,2.92407,true,1,0.00648736,0;0;21;0;12;24;0;10;10;2
1474.08,2.90515,true,1,0.0138711,0;0;20;0;8;22;0;7;19;0
1482.81,2.87525,true,1,0.00981807,0;0;20;0;10;23;0;9;17;0
1489.22,2.8742,true,1,0.00891267,1;0;23;2;10;23;0;5;17;0
1493.72,2.84677,true,1,0.0134209,0;0;20;2;12;22;0;8;16;0
1504.43,2.83093,true,1,0.00861109,0;0;22;3;10;22;0;8;17;1
1504.52,2.81636,true,1,0.00167642,0;0;19;0;18;23;0;9;14;0
1506.7,2.81404,true,1,0.00918889,0;0;21;0;11;23;0;11;13;1
1511.78,2.78574,true,1,0.0126251,0;0;22;0;13;24;0;8;16;0
1519.22,2.77278,true,1,0.00958475,0;0;22;0;11;24;0;10;16;0
1529.17,2.7569,true,1,0.0150122,0;0;22;0;14;24;0;8;16;2
1539.01,2.72525,true,1,0.0192552,0;0;22;0;13;23;0;13;14;0
1556.42,2.69654,true,1,0.010294,0;0;22;0;13;24;0;8;20;0
1561.13,2.69537,true,1,0.00409387,0;1;22;0;15;24;0;11;14;1
1561.48,2.68347,true,1,0.00841095,0;0;21;0;13;23;0;12;18;0
1564.98,2.66646,true,1,0.00923587,0;0;22;0;13;22;0;9;21;0
1567.42,2.65226,true,1,0.00777192,0;0;22;0;20;23;0;11;13;0
1580.93,2.64366,true,1,0.00461345,0;1;22;0;15;23;0;13;17;0
1584.08,2.64019,true,1,0.00384663,0;0;20;0;16;23;0;17;17;0
1594.51,2.63399,true,1,0.00305666,0;0;21;0;14;23;0;16;17;3
1595.08,2.63272,true,1,0.0109446,0;0;24;3;10;22;0;14;19;0
1596.39,2.59538,true,1,0.0173951,0;0;24;0;13;22;0;9;22;0
1612.91,2.57604,true,1,0.007735,0;0;21;1;18;23;0;14;18;0
1615.38,2.57368,true,1,0.00595044,0;0;22;0;14;23;0;15;19;1
1620.94,2.55727,true,1,0.00664869,1;0;22;0;19;23;0;15;17;0
1621.12,2.55167,true,1,0.00820283,0;0;22;0;16;23;0;15;19;0
1626.61,2.52469,true,1,0.00470323,0;0;24;0;18;23;0;11;18;2
1630.69,2.51585,true,1,0.00496801,0;0;23;0;19;23;0;14;19;0
1639.32,2.51091,true,1,0.00755673,0;0;22;0;18;23;0;16;19;0
1645.59,2.49349,true,1,0.0139926,0;0;23;0;24;23;0;13;17;0
1662.76,2.4682,true,1,0.00924244,0;0;24;0;17;24;0;15;20;0
1670.26,2.46818,true,1,0.00952845,0;0;22;1;19;24;0;15;20;0
1673.18,2.43736,true,1,0.00993732,1;0;25;1;17;22;0;12;21;0
1675.86,2.43435,true,1,0.00171157,0;0;24;0;18;23;0;17;20;0
1679.15,2.43312,true,1,0.00556294,0;1;25;0;15;23;0;14;20;0
1694.94,2.41736,true,1,0.0115228,1;0;24;0;18;24;0;17;21;0
1703.6,2.39767,true,1,0.0216341,0;0;24;0;18;24;0;15;21;3
1718.84,2.34742,true,1,0.0234789,0;0;25;0;19;24;0;15;21;0
1741.84,2.32565,true,1,0.0086949,0;0;25;0;17;23;0;19;22;0
1747.62,2.32537,true,1,0.00260422,0;0;25;1;17;24;0;14;24;3
1747.69,2.31817,true,1,0.00555713,1;0;26;3;14;22;0;12;21;0
1758.38,2.30887,true,1,0.0113061,2;0;26;0;15;24;0;12;21;0
1759.95,2.28155,true,1,0.00886403,0;0;25;0;20;24;0;15;23;0
1770.18,2.28084,true,1,0.00564261,0;0;24;0;24;23;0;18;22;0
1773.2,2.26553,true,1,0.00821028,1;0;25;0;23;24;0;17;21;1
1779.06,2.25376,true,1,0.00290364,0;0;25;0;21;24;0;17;24;0
1781.66,2.24651,true,1,0.0051658,0;0;26;0;15;22;0;17;22;0
1790.53,2.23888,true,1,0.00484806,0;0;25;0;20;24;0;19;23;0
1799.72,2.23485,true,1,0.00722345,0;0;26;0;21;22;0;14;22;0
1808.03,2.21854,true,1,0.00605678,1;0;26;0;16;23;0;17;23;0
1810.29,2.2165,true,1,0.00438247,1;0;25;1;23;23;0;19;22;0
1820.8,2.20688,true,1,0.00564177,0;0;26;0;17;25;0;15;22;1
1825.93,2.20124,true,1,0.00658745,0;0;26;3;17;25;0;12;24;0
1831.65,2.18671,true,1,0.0145149,0;0;26;7;17;23;0;13;24;0
1838.51,2.15322,true,1,0.0131596,0;0;26;0;20;24;0;17;23;0
1856.12,2.14243,true,1,0.00633173,0;0;26;3;19;23;0;18;22;1
1867.47,2.139,true,1,0.0031674,0;0;27;0;18;25;0;13;24;0
1867.6,2.13471,true,1,0.00265907,0;0;27;4;17;23;0;17;23;0
1875.86,2.13213,true,1,0.0040578,1;0;26;1;17;24;0;17;25;0
1878.59,2.12365,true,1,0.0031698,0;1;26;0;22;25;0;19;20;0
1879.3,2.12186,true,1,0.00275336,1;0;27;0;18;24;0;18;22;0
1886.48,2.11628,true,1,0.00771437,1;0;26;0;18;25;0;18;24;0
1887.56,2.09684,true,1,0.00731408,0;0;27;0;18;22;0;19;24;0
1892.86,2.0921,true,1,0.00402156,1;0;27;0;21;23;0;16;24;0
1904.94,2.08793,true,1,0.00979577,0;0;25;0;24;23;0;23;23;4
1915.03,2.06402,true,1,0.00975595,0;0;26;0;21;25;0;20;23;0
1934.64,2.06237,true,1,0.00585366,0;0;26;11;20;23;0;19;24;0
1944.11,2.05224,true,1,0.008388,1;1;26;0;24;23;0;21;22;3
1945.64,2.0358,true,1,0.00552843,0;0;27;7;17;24;0;16;25;0
1946.67,2.03325,true,1,0.00502494,0;1;27;1;19;22;0;18;25;0
1948.89,2.01883,true,1,0.00572382,1;0;26;0;23;23;0;22;24;0
1955.13,2.01542,true,1,0.00560014,0;0;27;7;19;23;0;15;25;0
1963.06,2.00325,true,1,0.00963748,0;0;27;2;21;24;0;21;24;0
1979.61,1.98863,true,1,0.0114869,0;0;27;3;21;23;0;22;24;0
1985.99,1.96935,true,1,0.00883665,0;0;27;0;23;24;0;22;24;0
2012.08,1.96725,true,1,0.00382828,1;0;27;10;20;25;0;15;25;0
2015.63,1.96421,true,1,0.00191525,0;1;26;4;21;23;0;20;25;6
2030.61,1.96401,true,1,0.00182568,4;0;26;6;22;24;0;21;25;0
2031.25,1.96261,true,1,0.00530644,0;1;26;17;23;22;0;19;25;1
2037.09,1.94705,true,1,0.0150282,3;0;26;4;22;22;0;21;25;5
2044.28,1.90749,true,1,0.00590888,0;0;27;6;24;23;0;20;25;0
2066.27,1.89868,true,1,0.00786336,2;0;27;0;23;25;0;22;25;0
2086.14,1.89256,true,1,0.011238,2;0;27;0;23;23;0;25;23;4
2086.35,1.86477,true,1,0.00953252,0;0;27;0;24;25;0;24;25;0
2119.81,1.86293,true,1,0.0108538,0;0;26;3;24;26;0;24;25;0
2132.12,1.83591,true,1,0.016618,1;0;27;1;25;26;0;22;24;3
2158.76,1.81572,true,1,0.0211676,2;0;27;0;25;26;0;22;25;0
2188.33,1.77785,true,1,0.0139069,0;0;27;3;23;25;0;21;26;4
2191.16,1.77615,true,1,0.00394374,1;0;27;0;25;23;0;23;26;0
2214.57,1.77202,true,1,0.0106555,0;0;27;11;21;25;0;20;26;5
2232.35,1.751,true,1,0.016916,0;0;26;2;26;24;0;25;25;6
2250.84,1.72289,true,1,0.0152109,1;0;26;0;26;26;0;24;25;5
2292.06,1.71539,true,1,0.00722044,2;0;26;0;26;26;0;21;26;1
2304.24,1.71367,true,1,0.0100486,1;0;26;3;25;27;0;25;25;13
2304.26,1.68178,true,1,0.0127017,0;2;27;0;26;23;0;24;26;2
2342.76,1.68035,true,1,0.00645604,0;0;27;9;23;26;0;23;26;11
2348.59,1.67267,true,1,0.00353826,3;0;28;0;23;24;0;22;26;2
2353.28,1.671,true,1,0.00677338,1;1;28;0;23;22;0;24;26;1
2354.14,1.65016,true,1,0.00731293,1;0;28;9;20;25;0;17;27;0
2358.69,1.64652,true,1,0.00547783,0;0;27;0;27;23;0;23;27;1
2361.95,1.63301,true,1,0.00939475,0;0;27;0;26;23;0;26;25;4
2404.04,1.6272,true,1,0.0126544,5;0;28;6;23;23;0;23;26;1
2411.95,1.60348,true,1,0.00914936,0;1;27;6;26;26;0;24;26;2
2418.66,1.59193,true,1,0.00970737,0;0;28;17;21;25;0;18;27;2
2444.15,1.57446,true,1,0.0129966,2;0;28;10;25;23;0;24;26;0
2492.8,1.56136,true,1,0.00684386,1;1;26;0;27;23;0;26;26;5
2496.95,1.55871,true,1,0.00882254,1;0;26;2;27;23;0;26;26;5
2500.02,1.53204,true,1,0.0178174,0;1;27;1;26;27;0;25;26;10
2583.05,1.5203,true,1,0.00728969,1;1;27;0;26;24;0;27;27;1
2583.82,1.50798,true,1,0.00866999,4;0;28;2;24;26;0;25;27;2
2588.02,1.49081,true,1,0.00549825,0;0;30;19;20;24;0;24;27;0
2589.82,1.49018,true,1,0.0126916,0;0;30;21;20;22;0;24;27;0
2624.98,1.45704,true,1,0.0154177,1;0;28;2;26;26;0;24;27;3
2637.97,1.45017,true,1,0.00496985,1;0;28;1;27;26;0;24;27;0
2656.43,1.44918,true,1,0.00381453,2;0;27;4;26;27;0;26;26;12
2673.99,1.4479,true,1,0.00221307,0;0;28;26;18;23;0;12;28;0
2677.31,1.44785,true,1,0.00306022,1;0;27;7;26;26;0;26;26;20
2690.1,1.44203,true,1,0.00691477,0;0;28;19;21;25;0;18;28;3
2699.92,1.43023,true,1,0.00926423,2;1;28;19;25;27;0;24;27;7
2744.75,1.42613,true,1,0.00652668,1;0;28;6;25;28;0;24;27;6
2748.69,1.42228,true,1,0.0116488,0;0;31;12;23;27;0;24;27;7
2768.83,1.39201,true,1,0.0146186,1;1;27;1;27;26;0;27;26;24
2810.66,1.3895,true,1,0.00601987,0;1;30;19;22;21;0;20;28;2
2817.98,1.38599,true,1,0.0103181,0;0;31;0;25;26;0;26;27;0
2850.37,1.36199,true,1,0.0066434,3;1;30;20;22;21;0;22;28;0
2854.84,1.35295,true,1,0.00725135,3;1;31;23;21;22;0;20;28;0
2865.23,1.34071,true,1,0.00598718,3;0;29;24;21;24;0;22;28;2
2872,1.33693,true,1,0.00282995,1;1;28;0;27;28;0;25;27;4
2877.57,1.33448,true,1,0.00357941,0;0;27;6;28;26;0;26;27;8
2887.78,1.3291,true,1,0.00389742,0;0;31;14;25;24;0;23;28;0
2903.24,1.32864,true,1,0.00205836,0;0;30;27;14;25;2;16;28;3
2906.5,1.32765,true,1,0.00190835,1;0;29;17;24;27;0;20;28;1
2915.81,1.32578,true,1,0.00286731,0;2;31;13;25;24;0;24;28;0
2921.38,1.32208,true,1,0.00611733,1;0;28;5;25;27;0;25;28;6
2937.86,1.31083,true,1,0.00823338,0;2;30;23;20;26;0;22;28;0
2945.06,1.30008,true,1,0.00512313,0;0;31;15;23;26;0;23;28;2
2953.37,1.29738,true,1,0.00646003,4;0;30;24;22;25;0;24;28;2
2968.77,1.28443,true,1,0.0113966,1;2;28;2;27;28;0;26;26;5
2979.07,1.26469,true,1,0.0149685,1;1;29;0;26;26;0;27;27;7
3028.46,1.23725,true,1,0.0191231,0;0;30;1;27;27;0;27;27;3
3106.19,1.22138,true,1,0.0188155,1;0;33;3;26;26;0;27;27;5
3130.26,1.19955,true,1,0.00786186,0;0;29;5;27;27;0;25;28;6
3229.62,1.19622,true,1,0.0112046,1;0;31;19;25;28;0;24;28;14
3235.24,1.19163,true,1,0.00801612,0;1;30;0;26;30;0;27;27;8
3240.2,1.16673,true,1,0.00830175,2;1;29;4;27;27;0;26;28;2
3240.81,1.16365,true,1,0.00220089,2;1;31;0;27;28;0;27;27;14
3307.4,1.16084,true,1,0.00911929,1;3;31;7;26;28;0;25;28;8
3312.86,1.15196,true,1,0.0115706,0;0;33;21;23;27;0;26;28;10
3347.18,1.13197,true,1,0.0109166,1;0;30;13;27;26;0;25;30;8
3370.2,1.13099,true,1,0.00329613,3;0;30;0;27;28;0;26;28;4
3373.88,1.12861,true,1,0.00481482,3;0;32;26;24;26;0;26;28;8
3417.08,1.12857,true,1,0.00802575,1;0;28;7;26;30;0;27;28;10
3424.55,1.11588,true,1,0.00501573,0;1;28;5;28;32;0;27;27;8
3430.23,1.11476,true,1,0.00276189,1;1;28;0;27;29;0;27;28;15
3430.57,1.10789,true,1,0.00451704,1;2;29;5;26;28;0;26;28;20
3440.04,1.10168,true,1,0.00398552,1;0;30;18;27;27;0;26;29;0
3444.66,1.09807,true,1,0.00499985,1;1;31;8;26;27;0;26;29;11
3470.3,1.09334,true,1,0.0108819,0;0;29;0;30;26;0;26;28;3
3492.23,1.07413,true,1,0.0133165,4;0;34;7;27;26;0;27;28;5
3552.71,1.0717,true,1,0.00690489,0;0;32;4;27;27;0;27;30;2
3560.8,1.06678,true,1,0.00735289,3;1;33;5;27;26;0;26;30;8
3567.22,1.04932,true,1,0.010949,1;0;34;6;27;28;0;26;28;8
3641.27,1.03722,true,1,0.0156241,4;0;32;9;27;26;0;27;31;10
3690.21,1.00042,true,1,0.0187076,0;0;30;10;28;27;0;27;29;10
3743.04,0.989782,true,1,0.0106085,3;1;29;0;29;28;0;27;28;13
3764.53,0.979953,true,1,0.00473733,0;0;31;7;28;30;0;27;28;9
3767.05,0.979568,true,1,0.00940954,1;0;29;11;28;29;0;27;28;16
3819.19,0.963533,true,1,0.0132236,2;0;32;3;28;29;0;27;28;13
3849.13,0.957528,true,1,0.00783737,2;0;31;7;28;28;0;27;29;12
3891.4,0.952913,true,1,0.00751765,1;0;30;4;29;28;0;27;29;8
3909.46,0.949679,true,1,0.00571886,1;1;32;8;28;28;0;26;31;12
3943.41,0.948875,true,1,0.00369628,0;4;30;2;29;32;0;27;28;16
3946.32,0.948093,true,1,0.00443935,2;4;28;0;28;30;0;28;28;17
3953.45,0.936147,true,1,0.00719044,0;1;31;0;28;27;0;28;29;11
3986.95,0.935185,true,1,0.00380553,0;0;29;3;29;30;0;27;30;11
3989.43,0.933895,true,1,0.00343052,4;2;30;11;29;28;0;27;29;13
4015.81,0.932023,true,1,0.00414983,1;1;33;2;28;31;0;27;30;7
4022.53,0.929496,true,1,0.00372934,4;0;32;2;31;32;0;27;28;10
4043.99,0.921944,true,1,0.00679206,0;1;29;5;31;29;0;27;30;14
4075.94,0.920899,true,1,0.00412997,3;1;30;17;28;32;0;27;29;22
4082.1,0.919199,true,1,0.0071196,2;0;32;14;28;32;0;26;31;14
4100.71,0.903227,true,1,0.0069307,1;0;31;15;31;29;0;27;29;16
4106.41,0.902061,true,1,0.0032155,0;0;32;4;31;31;0;27;29;10
4112.87,0.895555,true,1,0.00510884,2;2;33;11;30;27;0;28;28;12
4131.16,0.891585,true,1,0.00545673,0;3;33;0;30;28;0;28;28;4
4144.75,0.879077,true,1,0.00598916,0;0;31;4;29;31;0;28;28;10
4189.08,0.867222,true,1,0.00550361,0;1;35;3;28;28;0;28;28;11
4228.95,0.866221,true,1,0.00471101,2;2;30;0;31;32;0;28;28;12
4233.88,0.861525,true,1,0.00310891,2;0;30;0;31;33;0;28;28;14
4237.28,0.857716,true,1,0.00703961,2;2;35;0;28;28;0;28;28;21
4273.68,0.848896,true,1,0.00884225,0;0;30;0;30;30;0;28;29;14
4297.12,0.844964,true,1,0.00366543,1;1;30;4;31;28;0;29;28;21
4298.47,0.843605,true,1,0.00171268,1;0;31;0;29;29;0;28;30;17
4303.43,0.840827,true,1,0.00565547,1;0;30;1;29;29;0;29;28;21
4343.01,0.83743,true,1,0.00852141,0;0;33;23;28;28;0;28;31;14
4345.75,0.823684,true,1,0.00765026,0;0;33;0;30;28;0;29;28;21
4381.27,0.822124,true,1,0.0107815,0;0;31;0;31;30;0;28;30;23
4440.41,0.814997,true,1,0.00894069,3;1;34;6;31;32;0;28;28;19
4452.14,0.811026,true,1,0.00222554,0;1;32;6;33;32;0;28;28;20
4459.35,0.810524,true,1,0.00546471,2;2;33;0;29;29;0;28;31;20
4507.91,0.809088,true,1,0.00494679,0;0;31;11;30;29;0;29;29;17
4508.23,0.808262,true,1,0.00207288,3;1;31;1;31;30;0;29;29;17
4514.42,0.803719,true,1,0.00469327,0;0;32;0;29;34;0;28;31;19
4521.77,0.795732,true,1,0.00533983,3;1;34;8;31;29;0;28;29;18
4550.22,0.794404,true,1,0.00112685,5;1;34;1;29;30;0;28;31;22
4553.92,0.794375,true,1,0.00146097,0;0;32;2;31;33;0;31;28;19
4564.71,0.793753,true,1,0.00260212,1;0;33;0;31;31;0;28;32;15
4566.71,0.789097,true,1,0.0051304,0;0;36;11;29;28;0;28;31;9
4591.74,0.783922,true,1,0.00861642,0;0;32;3;30;29;0;29;31;19
4635.45,0.775905,true,1,0.00742948,2;0;34;1;29;30;0;29;30;18
4656.89,0.773961,true,1,0.00496805,0;0;34;6;30;29;0;29;31;13
4685.29,0.77366,true,1,0.0012844,2;0;34;5;29;31;0;30;30;13
4689.29,0.770834,true,1,0.00297897,3;0;33;0;34;29;0;29;29;11
4698.37,0.767125,true,1,0.0033811,1;2;32;0;31;31;0;30;31;23
4707.47,0.764471,true,1,0.00497457,0;0;36;0;31;33;0;28;30;16
4724.5,0.75757,true,1,0.00623069,0;0;32;0;32;31;0;31;30;20
4753.11,0.756586,true,1,0.00439109,0;0;32;0;34;33;0;29;29;16
4766.95,0.755262,true,1,0.00276084,0;1;34;2;30;32;1;29;31;21
4770.05,0.749503,true,1,0.00287557,1;0;36;10;32;31;0;28;30;17
4786.49,0.747932,true,1,0.00535431,2;0;33;0;32;32;0;29;31;22
4820.26,0.744347,true,1,0.00485156,1;0;34;3;32;31;0;31;31;17
4831.18,0.73586,true,1,0.0111327,1;0;35;2;31;29;0;29;31;25
4904.58,0.731133,true,1,0.0122003,0;1;35;17;31;31;0;30;31;19
4949.67,0.729627,true,1,0.00553999,7;0;36;2;30;29;0;29;32;19
4951.94,0.726265,true,1,0.00280028,2;1;33;0;35;32;0;30;30;18
4966.59,0.724947,true,1,0.00324213,0;0;34;6;32;35;0;29;31;21
4973.9,0.721595,true,1,0.00314979,2;1;35;7;31;34;0;29;31;23
4982.69,0.718753,true,1,0.00235964,0;2;35;6;31;29;0;31;32;22
4991.59,0.718735,true,1,0.00402817,0;1;33;0;36;33;0;29;30;20
5013.68,0.714124,true,1,0.00423461,2;0;36;4;32;32;0;31;30;16
5024.82,0.710649,true,1,0.00542839,0;2;35;10;33;33;0;29;31;21
5061.79,0.709845,true,1,0.00618768,0;0;34;12;32;34;0;30;32;22
5082.43,0.706704,true,1,0.00399424,2;0;36;14;34;30;0;31;31;13
5096.87,0.70371,true,1,0.00368813,3;1;36;9;33;29;0;30;32;15
5099.68,0.69887,true,1,0.00376171,1;1;35;3;32;32;0;31;32;22
5123.16,0.698551,true,1,0.00540354,0;0;33;0;34;33;0;32;32;23
5157.38,0.697762,true,1,0.00663794,0;1;36;15;30;34;0;31;32;18
5170.09,0.688965,true,1,0.00854336,2;3;35;1;34;33;0;30;31;26
5211.64,0.680945,true,1,0.00933486,0;0;36;0;34;33;0;30;33;20
5234.71,0.675963,true,1,0.00973109,0;0;36;15;34;29;0;31;32;25
5300.04,0.674039,true,1,0.0083189,2;1;36;13;34;32;0;31;33;19
5320.26,0.669072,true,1,0.00399938,0;0;35;8;33;34;0;29;34;26
5325.66,0.665564,true,1,0.00691893,2;0;37;9;33;33;0;30;32;24
5386.79,0.665327,true,1,0.00586801,0;0;35;23;32;34;0;31;33;27
5387.25,0.657894,true,1,0.00442679,2;0;37;10;33;33;0;31;33;24
5424.73,0.657579,true,1,0.0048891,1;0;37;11;31;31;0;32;34;25
5440.88,0.657342,true,1,0.00251116,0;0;37;0;35;34;0;31;33;14
5446.07,0.655331,true,1,0.00262811,4;1;35;0;33;34;0;33;33;26
5469.82,0.652169,true,1,0.00307044,5;1;35;1;36;33;0;30;34;25
5477.04,0.651526,true,1,0.00236674,0;0;35;0;32;35;0;32;34;26
5488.24,0.649518,true,1,0.00676678,0;2;35;9;34;32;0;33;34;25
5534.83,0.64556,true,1,0.00779343,0;0;35;7;33;35;0;33;34;25
5558.46,0.643806,true,1,0.00343002,0;4;35;19;35;33;0;32;33;25
5560.51,0.64114,true,1,0.00430851,3;2;37;0;34;33;0;32;34;22
5593.59,0.63707,true,1,0.00558555,0;0;35;0;35;36;1;33;33;23
5602.54,0.634424,true,1,0.00366368,2;0;38;0;34;36;0;33;31;25
5623.04,0.633258,true,1,0.00463329,1;0;37;0;34;35;0;32;34;21
5650.22,0.632905,true,1,0.00557125,7;0;37;19;33;32;0;33;34;24
5660.01,0.624472,true,1,0.00872164,2;0;37;9;35;34;0;32;33;23
5717.78,0.62045,true,1,0.00878357,1;1;36;10;35;35;0;32;34;25
5742.02,0.618943,true,1,0.00606059,0;0;35;0;37;36;0;33;33;23
5780.23,0.617606,true,1,0.00332246,3;2;38;6;32;32;0;34;34;27
5803.99,0.61544,true,1,0.00411325,1;1;39;17;34;31;0;33;34;19
5808.52,0.611817,true,1,0.00870837,4;0;37;8;37;32;0;32;33;25
5869.78,0.605049,true,1,0.0105323,3;3;36;0;36;34;0;32;35;26
5904.53,0.60445,true,1,0.00549936,1;2;38;3;38;36;0;33;31;22
5925.82,0.603073,true,1,0.00358423,6;0;38;6;34;35;0;33;35;23
5936.94,0.60186,true,1,0.00518119,1;8;37;16;35;36;0;32;33;26
5962.18,0.596009,true,1,0.00853447,3;0;37;0;36;33;0;33;36;24
6006.09,0.591331,true,1,0.00593405,0;0;35;0;35;34;0;35;35;27
6022.61,0.591009,true,1,0.00531463,0;2;38;1;36;31;0;34;36;24
6052.36,0.586924,true,1,0.00645906,0;1;39;23;33;33;0;32;36;22
6070.8,0.583111,true,1,0.00805299,0;0;38;6;35;35;0;33;36;24
6112.38,0.577058,true,1,0.00598846,0;0;37;5;37;34;0;34;35;24
6178.67,0.575129,true,1,0.0106066,3;3;37;11;36;34;0;34;36;25
6206.47,0.568496,true,1,0.00907847,0;2;37;11;36;34;0;34;36;26
6250.11,0.565198,true,1,0.00949936,3;1;36;0;38;34;0;36;34;27
6299.79,0.558074,true,1,0.00693773,1;1;38;5;37;36;0;35;32;27
6387.57,0.557069,true,1,0.00842587,1;0;39;0;37;36;0;34;35;19
6393.24,0.552605,true,1,0.00692553,2;1;39;9;35;34;0;35;35;25
6446.83,0.549147,true,1,0.00637902,0;0;37;11;36;36;0;34;37;26
6453.71,0.548877,true,1,0.00292018,0;0;37;6;38;35;0;35;36;23
6461.73,0.543399,true,1,0.00806881,4;0;39;16;36;34;0;34;36;26
6530.93,0.543105,true,1,0.00561592,3;1;39;18;36;33;0;33;38;25
6580.32,0.540189,true,1,0.00742856,1;1;40;2;37;34;0;34;36;22
6604.79,0.539853,true,1,0.00362121,8;0;39;1;37;32;0;37;34;25
6612.37,0.537354,true,1,0.00399681,0;1;36;0;37;35;0;37;36;26
6642.13,0.537345,true,1,0.00516823,1;3;39;19;37;36;0;34;35;27
6669.96,0.530975,true,1,0.00867247,0;0;37;2;36;38;0;36;35;28
6701.64,0.524804,true,1,0.00671047,1;0;37;0;37;35;0;36;36;28
6773.74,0.523194,true,1,0.00520914,0;1;39;16;37;35;1;34;38;24
6774.7,0.523009,true,1,0.00322708,3;0;40;13;35;36;0;32;38;26
6802.18,0.520628,true,1,0.00327633,4;0;38;2;37;34;0;36;38;27
6802.59,0.520094,true,1,0.00222449,1;3;38;19;37;35;0;35;37;27
6820.28,0.518384,true,1,0.00439544,0;0;40;15;36;35;0;34;38;24
6844.7,0.517665,true,1,0.00447855,1;0;40;26;37;34;0;35;35;24
6866.11,0.516835,true,1,0.0030203,5;0;39;26;35;34;0;35;37;27
6871.91,0.51545,true,1,0.00160841,0;0;36;0;39;36;0;37;36;26
6878.37,0.514888,true,1,0.00510585,8;0;39;19;38;36;1;36;35;25
6923.02,0.51282,true,1,0.00671854,0;8;38;15;39;36;0;36;35;26
